ranking,team,PTS,PJ,PG,PE,PP,GF,GC,DG,Season
1,Real Madrid,93,38,29,6,3,106,41,65,16-17
2,Barcelona,90,38,28,6,4,116,37,79,16-17
3,Ath Madrid,78,38,23,9,6,70,27,43,16-17
4,Sevilla,72,38,21,9,8,69,49,20,16-17
5,Villarreal,67,38,19,10,9,56,33,23,16-17
6,Sociedad,64,38,19,7,12,59,53,6,16-17
7,Ath Bilbao,63,38,19,6,13,53,43,10,16-17
8,Espanol,56,38,15,11,12,49,50,-1,16-17
9,Alaves,55,38,14,13,11,41,43,-2,16-17
10,Eibar,54,38,15,9,14,56,51,5,16-17
11,Malaga,46,38,12,10,16,49,55,-6,16-17
12,Valencia,46,38,13,7,18,56,65,-9,16-17
13,Celta,45,38,13,6,19,53,69,-16,16-17
14,Las Palmas,39,38,10,9,19,53,74,-21,16-17
15,Betis,39,38,10,9,19,41,64,-23,16-17
16,La Coruna,36,38,8,12,18,43,61,-18,16-17
17,Leganes,35,38,8,11,19,36,55,-19,16-17
18,Sp Gijon,31,38,7,10,21,42,72,-30,16-17
19,Osasuna,22,38,4,10,24,40,94,-54,16-17
20,Granada,20,38,4,8,26,30,82,-52,16-17
