MatchID,Date,Team,Goals,TeamLocation,OpposingTeam,FullTimeResult,HalfTimeResult,HalfTimeGoals,ShotsOnTarget,Corners,FoulsCommitted,YellowCards,RedCards,Season
1,27/08/11,Granada,0,Local,Betis,Derrota,Empate,0,2,8,12,2,0,11-12
1,27/08/11,Betis,1,Visitante,Granada,Victoria,Empate,0,3,5,16,2,0,11-12
2,27/08/11,Sp Gijon,1,Local,Sociedad,Derrota,Derrota,0,4,9,14,2,1,11-12
2,27/08/11,Sociedad,2,Visitante,Sp Gijon,Victoria,Victoria,1,2,2,11,1,1,11-12
3,27/08/11,Valencia,4,Local,Santander,Victoria,Derrota,1,11,10,14,3,0,11-12
3,27/08/11,Santander,3,Visitante,Valencia,Derrota,Victoria,2,3,3,11,3,0,11-12
4,28/08/11,Ath Bilbao,1,Local,Vallecano,Empate,Empate,0,4,9,17,1,0,11-12
4,28/08/11,Vallecano,1,Visitante,Ath Bilbao,Empate,Empate,0,6,4,19,3,0,11-12
5,28/08/11,Ath Madrid,0,Local,Osasuna,Empate,Empate,0,8,12,9,1,0,11-12
5,28/08/11,Osasuna,0,Visitante,Ath Madrid,Empate,Empate,0,2,5,8,0,0,11-12
6,28/08/11,Getafe,1,Local,Levante,Empate,Empate,0,2,1,15,5,0,11-12
6,28/08/11,Levante,1,Visitante,Getafe,Empate,Empate,0,1,4,6,3,0,11-12
7,28/08/11,Mallorca,1,Local,Espanol,Victoria,Empate,0,4,5,21,2,0,11-12
7,28/08/11,Espanol,0,Visitante,Mallorca,Derrota,Empate,0,3,4,15,3,0,11-12
8,28/08/11,Sevilla,2,Local,Malaga,Victoria,Victoria,2,9,2,15,3,0,11-12
8,28/08/11,Malaga,1,Visitante,Sevilla,Derrota,Derrota,0,1,8,7,1,0,11-12
9,28/08/11,Zaragoza,0,Local,Real Madrid,Derrota,Derrota,0,1,7,16,2,0,11-12
9,28/08/11,Real Madrid,6,Visitante,Zaragoza,Victoria,Victoria,2,16,9,16,1,0,11-12
10,29/08/11,Barcelona,5,Local,Villarreal,Victoria,Victoria,2,9,12,15,3,0,11-12
10,29/08/11,Villarreal,0,Visitante,Barcelona,Derrota,Derrota,0,1,0,14,3,0,11-12
11,10/09/11,Real Madrid,4,Local,Getafe,Victoria,Empate,1,10,4,9,3,0,11-12
11,10/09/11,Getafe,2,Visitante,Real Madrid,Derrota,Empate,1,6,6,13,3,0,11-12
12,10/09/11,Sociedad,2,Local,Barcelona,Empate,Derrota,0,4,5,10,2,0,11-12
12,10/09/11,Barcelona,2,Visitante,Sociedad,Empate,Victoria,2,6,4,17,1,0,11-12
13,10/09/11,Valencia,1,Local,Ath Madrid,Victoria,Empate,0,6,3,15,1,0,11-12
13,10/09/11,Ath Madrid,0,Visitante,Valencia,Derrota,Empate,0,2,7,18,2,0,11-12
14,10/09/11,Villarreal,2,Local,Sevilla,Empate,Empate,1,5,2,15,2,1,11-12
14,10/09/11,Sevilla,2,Visitante,Villarreal,Empate,Empate,1,5,1,14,4,0,11-12
15,11/09/11,Betis,1,Local,Mallorca,Victoria,Empate,0,7,7,9,2,0,11-12
15,11/09/11,Mallorca,0,Visitante,Betis,Derrota,Empate,0,2,5,17,4,0,11-12
16,11/09/11,Espanol,2,Local,Ath Bilbao,Victoria,Victoria,1,6,2,17,2,0,11-12
16,11/09/11,Ath Bilbao,1,Visitante,Espanol,Derrota,Derrota,0,7,3,21,1,0,11-12
17,11/09/11,Osasuna,2,Local,Sp Gijon,Victoria,Victoria,2,7,6,22,2,0,11-12
17,11/09/11,Sp Gijon,1,Visitante,Osasuna,Derrota,Derrota,0,2,8,16,3,0,11-12
18,11/09/11,Santander,0,Local,Levante,Empate,Empate,0,1,3,14,2,1,11-12
18,11/09/11,Levante,0,Visitante,Santander,Empate,Empate,0,2,4,20,2,0,11-12
19,11/09/11,Vallecano,0,Local,Zaragoza,Empate,Empate,0,5,3,19,4,0,11-12
19,11/09/11,Zaragoza,0,Visitante,Vallecano,Empate,Empate,0,1,1,14,4,0,11-12
20,12/09/11,Malaga,4,Local,Granada,Victoria,Victoria,2,9,4,12,1,0,11-12
20,12/09/11,Granada,0,Visitante,Malaga,Derrota,Derrota,0,4,3,11,2,0,11-12
21,17/09/11,Barcelona,8,Local,Osasuna,Victoria,Victoria,5,14,8,8,1,0,11-12
21,17/09/11,Osasuna,0,Visitante,Barcelona,Derrota,Derrota,0,1,3,15,5,0,11-12
22,17/09/11,Granada,1,Local,Villarreal,Victoria,Empate,0,2,0,17,7,0,11-12
22,17/09/11,Villarreal,0,Visitante,Granada,Derrota,Empate,0,4,7,11,2,0,11-12
23,17/09/11,Mallorca,0,Local,Malaga,Derrota,Derrota,0,1,4,21,2,0,11-12
23,17/09/11,Malaga,1,Visitante,Mallorca,Victoria,Victoria,1,4,8,12,1,0,11-12
24,17/09/11,Sevilla,1,Local,Sociedad,Victoria,Empate,0,5,8,20,3,0,11-12
24,17/09/11,Sociedad,0,Visitante,Sevilla,Derrota,Empate,0,1,1,9,2,0,11-12
25,17/09/11,Sp Gijon,0,Local,Valencia,Derrota,Derrota,0,4,6,13,1,0,11-12
25,17/09/11,Valencia,1,Visitante,Sp Gijon,Victoria,Victoria,1,5,6,19,5,0,11-12
26,18/09/11,Ath Bilbao,2,Local,Betis,Derrota,Derrota,1,9,10,14,3,1,11-12
26,18/09/11,Betis,3,Visitante,Ath Bilbao,Victoria,Victoria,3,6,1,19,4,1,11-12
27,18/09/11,Ath Madrid,4,Local,Santander,Victoria,Victoria,2,7,5,17,3,0,11-12
27,18/09/11,Santander,0,Visitante,Ath Madrid,Derrota,Derrota,0,0,4,17,2,0,11-12
28,18/09/11,Getafe,0,Local,Vallecano,Derrota,Derrota,0,2,5,20,3,0,11-12
28,18/09/11,Vallecano,1,Visitante,Getafe,Victoria,Victoria,1,4,8,14,5,0,11-12
29,18/09/11,Levante,1,Local,Real Madrid,Victoria,Empate,0,4,3,20,7,0,11-12
29,18/09/11,Real Madrid,0,Visitante,Levante,Derrota,Empate,0,3,6,16,3,1,11-12
30,18/09/11,Zaragoza,2,Local,Espanol,Victoria,Victoria,1,5,3,23,2,0,11-12
30,18/09/11,Espanol,1,Visitante,Zaragoza,Derrota,Derrota,0,4,4,12,4,1,11-12
31,20/09/11,Osasuna,0,Local,Sevilla,Empate,Empate,0,8,5,18,3,0,11-12
31,20/09/11,Sevilla,0,Visitante,Osasuna,Empate,Empate,0,5,3,15,2,0,11-12
32,20/09/11,Sociedad,1,Local,Granada,Victoria,Empate,0,4,5,16,5,0,11-12
32,20/09/11,Granada,0,Visitante,Sociedad,Derrota,Empate,0,4,4,16,2,0,11-12
33,20/09/11,Villarreal,2,Local,Mallorca,Victoria,Victoria,1,9,3,9,0,0,11-12
33,20/09/11,Mallorca,0,Visitante,Villarreal,Derrota,Derrota,0,3,2,14,3,0,11-12
34,21/09/11,Ath Madrid,4,Local,Sp Gijon,Victoria,Victoria,1,11,11,18,2,0,11-12
34,21/09/11,Sp Gijon,0,Visitante,Ath Madrid,Derrota,Derrota,0,1,2,18,4,0,11-12
35,21/09/11,Malaga,1,Local,Ath Bilbao,Victoria,Empate,0,4,6,16,1,0,11-12
35,21/09/11,Ath Bilbao,0,Visitante,Malaga,Derrota,Empate,0,3,6,20,2,0,11-12
36,21/09/11,Santander,0,Local,Real Madrid,Empate,Empate,0,2,2,20,6,0,11-12
36,21/09/11,Real Madrid,0,Visitante,Santander,Empate,Empate,0,2,10,19,3,0,11-12
37,21/09/11,Valencia,2,Local,Barcelona,Empate,Victoria,2,1,4,14,4,1,11-12
37,21/09/11,Barcelona,2,Visitante,Valencia,Empate,Derrota,1,7,3,5,1,0,11-12
38,21/09/11,Vallecano,1,Local,Levante,Derrota,Derrota,0,7,7,15,2,1,11-12
38,21/09/11,Levante,2,Visitante,Vallecano,Victoria,Victoria,2,5,5,12,1,0,11-12
39,22/09/11,Betis,4,Local,Zaragoza,Victoria,Victoria,2,6,2,8,0,1,11-12
39,22/09/11,Zaragoza,3,Visitante,Betis,Derrota,Derrota,1,8,10,16,2,0,11-12
40,22/09/11,Espanol,1,Local,Getafe,Victoria,Empate,0,6,10,25,5,0,11-12
40,22/09/11,Getafe,0,Visitante,Espanol,Derrota,Empate,0,0,0,16,1,0,11-12
41,24/09/11,Ath Bilbao,1,Local,Villarreal,Empate,Victoria,1,6,8,22,3,1,11-12
41,24/09/11,Villarreal,1,Visitante,Ath Bilbao,Empate,Derrota,0,3,4,17,1,0,11-12
42,24/09/11,Barcelona,5,Local,Ath Madrid,Victoria,Victoria,3,8,8,17,1,0,11-12
42,24/09/11,Ath Madrid,0,Visitante,Barcelona,Derrota,Derrota,0,2,1,18,1,0,11-12
43,24/09/11,Real Madrid,6,Local,Vallecano,Victoria,Victoria,2,11,7,7,0,1,11-12
43,24/09/11,Vallecano,2,Visitante,Real Madrid,Derrota,Derrota,1,6,6,18,4,0,11-12
44,24/09/11,Sevilla,1,Local,Valencia,Victoria,Victoria,1,6,4,15,2,2,11-12
44,24/09/11,Valencia,0,Visitante,Sevilla,Derrota,Derrota,0,6,8,13,3,1,11-12
45,25/09/11,Granada,1,Local,Osasuna,Empate,Derrota,0,2,4,20,3,0,11-12
45,25/09/11,Osasuna,1,Visitante,Granada,Empate,Victoria,1,6,6,12,3,0,11-12
46,25/09/11,Levante,3,Local,Espanol,Victoria,Victoria,1,5,7,11,1,0,11-12
46,25/09/11,Espanol,1,Visitante,Levante,Derrota,Derrota,0,6,8,14,4,2,11-12
47,25/09/11,Mallorca,2,Local,Sociedad,Victoria,Empate,1,4,6,14,2,0,11-12
47,25/09/11,Sociedad,1,Visitante,Mallorca,Derrota,Empate,1,5,1,8,0,0,11-12
48,25/09/11,Sp Gijon,0,Local,Santander,Empate,Empate,0,1,3,15,2,0,11-12
48,25/09/11,Santander,0,Visitante,Sp Gijon,Empate,Empate,0,3,5,15,4,0,11-12
49,25/09/11,Zaragoza,0,Local,Malaga,Empate,Empate,0,4,3,19,1,0,11-12
49,25/09/11,Malaga,0,Visitante,Zaragoza,Empate,Empate,0,4,7,10,1,0,11-12
50,26/09/11,Getafe,1,Local,Betis,Victoria,Victoria,1,5,2,13,5,0,11-12
50,26/09/11,Betis,0,Visitante,Getafe,Derrota,Derrota,0,3,4,22,3,0,11-12
51,01/10/11,Malaga,3,Local,Getafe,Victoria,Empate,0,8,5,11,2,0,11-12
51,01/10/11,Getafe,2,Visitante,Malaga,Derrota,Empate,0,2,1,22,6,1,11-12
52,01/10/11,Osasuna,2,Local,Mallorca,Empate,Empate,1,6,7,11,2,0,11-12
52,01/10/11,Mallorca,2,Visitante,Osasuna,Empate,Empate,1,6,1,16,4,1,11-12
53,01/10/11,Santander,1,Local,Vallecano,Empate,Derrota,0,4,3,11,1,0,11-12
53,01/10/11,Vallecano,1,Visitante,Santander,Empate,Victoria,1,5,4,17,4,0,11-12
54,01/10/11,Valencia,1,Local,Granada,Victoria,Victoria,1,11,10,14,2,0,11-12
54,01/10/11,Granada,0,Visitante,Valencia,Derrota,Derrota,0,5,4,1,0,0,11-12
55,01/10/11,Villarreal,2,Local,Zaragoza,Empate,Derrota,1,12,13,3,1,0,11-12
55,01/10/11,Zaragoza,2,Visitante,Villarreal,Empate,Victoria,2,9,4,23,3,1,11-12
56,02/10/11,Ath Madrid,0,Local,Sevilla,Empate,Empate,0,4,7,20,5,0,11-12
56,02/10/11,Sevilla,0,Visitante,Ath Madrid,Empate,Empate,0,5,5,17,6,0,11-12
57,02/10/11,Betis,0,Local,Levante,Derrota,Derrota,0,4,11,13,2,0,11-12
57,02/10/11,Levante,1,Visitante,Betis,Victoria,Victoria,1,3,2,11,4,0,11-12
58,02/10/11,Espanol,0,Local,Real Madrid,Derrota,Derrota,0,3,9,25,4,0,11-12
58,02/10/11,Real Madrid,4,Visitante,Espanol,Victoria,Victoria,1,7,5,6,1,0,11-12
59,02/10/11,Sociedad,1,Local,Ath Bilbao,Derrota,Derrota,0,4,5,15,1,0,11-12
59,02/10/11,Ath Bilbao,2,Visitante,Sociedad,Victoria,Victoria,1,7,6,16,4,0,11-12
60,02/10/11,Sp Gijon,0,Local,Barcelona,Derrota,Derrota,0,1,4,19,2,0,11-12
60,02/10/11,Barcelona,1,Visitante,Sp Gijon,Victoria,Victoria,1,4,5,7,2,0,11-12
